player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,bat_hand,bowl_type,bowl_arm
963,MN Samuels,Right hand Bat,Right arm Offbreak, ,Marlon Nathaniel Samuels,Right,Spin,Right
53,SB Jakati,Left hand Bat,Slow Left arm Orthodox, ,Shadab Bashir Jakati,Left,Spin,Left
12,DA Warner,Left hand Bat,Legbreak, ,David Andrew Warner,Left,Spin,Right
268,RA Tripathi,Right hand Bat,Right arm Medium, ,Rahul Ajay Tripathi,Right,Pace,Right
186,S Nadeem,Right hand Bat,Slow Left arm Orthodox, ,Shahbaz Nadeem,Right,Spin,Left
59,MK Pandey,Right hand Bat,Right arm Medium, ,Manish Krishnanand Pandey,Right,Pace,Right
531,KS Williamson,Right hand Bat,Right arm Offbreak, ,Kane Stuart Williamson,Right,Spin,Right
56,G Gambhir,Left hand Bat,Legbreak, ,Gautam Gambhir,Left,Spin,Right
39,MK Tiwary,Right hand Bat,Legbreak Googly, ,Manoj Kumar Tiwary,Right,Spin,Right
68,M Vohra,Right hand Bat,Right arm Medium, ,Manan Vohra,Right,Pace,Right
638,NB Singh,Right hand Bat,Right arm Medium, ,Nathu Bharat Singh,Right,Pace,Right
40,R Bhatia,Right hand Bat,Right arm Medium fast, ,Rajat Bhatia,Right,Pace,Right
1233,SS Tiwary,Left hand Bat, , ,Saurabh Sunil Tiwary,Left,Unknown,Right
1396,MA Wood,Right hand Bat,Right arm Fast, ,Mark Andrew Wood,Right,Pace,Right
47,SK Raina,Left hand Bat,Right arm Offbreak, ,Suresh Kumar Raina,Left,Spin,Right
1242,R Vinay Kumar,Right hand Bat,Right arm Medium, ,Ranganath Vinay Kumar,Right,Pace,Right
541,SE Marsh,Left hand Bat,Slow Left arm Orthodox, ,Shaun Edward Marsh,Left,Spin,Left
6,Sachin Baby,Left hand Bat,Right arm Offbreak, ,Sachin Baby,Left,Spin,Right
525,J Yadav,Right hand Bat,Right arm Offbreak, ,Jayant Yadav,Right,Spin,Right
63,PP Chawla,Left hand Bat,Legbreak, ,Piyush Pramod Chawla,Left,Spin,Right
36,SPD Smith,Right hand Bat,Legbreak Googly, ,Steven Peter Devereux Smith,Right,Spin,Right
55,S Kaushik,Right hand Bat,Left arm Wrist spin, ,Shivil Kaushik,Right,Unknown,Left
52,P Kumar,Right hand Bat,Right arm Medium, ,Praveenkumar Sakat Singh,Right,Pace,Right
1429,K Khejroliya,Left hand Bat,Left arm Medium fast, ,Kulwant Khejroliya,Left,Pace,Left
32,MJ McClenaghan,Left hand Bat,Left arm Fast medium, ,Mitchell John McClenaghan,Left,Pace,Left
